Username,Full_Name,Location,Public_Repos_Count,Followers_Count,Total_Stars,Total_Forks,Has_Portfolio_Site,GitHub_Pages_Count
TheAlgorithms,The Algorithms,India,44,62217,453928,103346,1,6
brahmGAN,GPU.net,India,18,27341,3196,160,0,0
shradha-khapra,Shradha Khapra,"New Delhi,India",24,11821,2080,1265,1,0
noob-hackers,N17R0,india,19,11153,20623,2361,1,0
vivekweb2013,vivekweb2013,"Pune, India",25,6107,232,52,0,1
kovidgoyal,Kovid Goyal,"Mumbai, India",45,5521,59956,4281,1,1
Anuj-Kumar-Sharma,Anuj Kumar Sharma,"New Delhi, India",48,5152,2388,3748,1,3
akshaymarch7,Akshay Saini,India,12,4548,1547,645,1,2
Hack-with-Github,Hack with GitHub,"Bangalore, India",11,4332,121877,12530,1,1
Z4nzu,Hardik Zinzu,India,25,4146,76740,8729,1,0
liyasthomas,Liyas Thomas,"Kerala, India",37,3569,1989,365,1,17
adi1090x,Aditya Shakya,India,19,3456,27619,2053,1,2
techchipnet,TechChip,India,16,3261,6426,1743,1,0
vimal0156,VIMAL DHAMA,india,14,3261,139,12,1,1
AdiChat,Aditya Chatterjee,❤️ India ✈ Japan,26,3221,531,85,1,0
rajkumardusad,Rajkumar Dusad,India,6,3119,3607,664,1,2
jayDevCodes,Jay Dev,jaipur Rajasthan India,16,3046,147,11,0,0
tanaypratap,Tanay Pratap,"Bangalore, India",42,3043,374,670,1,1
coding-parrot,Gaurav Sen,"Mumbai, India",13,3027,1935,660,1,0
MAZHARMIK,MAZHAR,"Gurgaon, India",29,2758,4568,2051,1,0
GSSoC24,GSSoC24,India,5,2632,640,3523,1,1
learning-zone,Pradeep Kumar,India,46,2630,20815,9176,0,23
AnubhavChaturvedi-GitHub,Anubhav Chaturvedi,Banglore India,14,2441,382,44,1,0
haris989,Haris Ali Khan,"Kharagpur, India",30,2311,1071,648,0,0
ravi8x,Ravi Tamada,India,39,2272,1688,1063,1,0
ayushi7rawat,Ayushi Rawat,"Pune, India",23,2237,1666,608,1,0
akash-tk,Akash T K,"Kochi, Kerala, India",19,2219,118,8,1,1
codewithMUHILAN,ＭＵＨＩＬＡＮ,"chennai, india",10,2132,811,118,1,0
aritraroy,Aritra Roy,"Kolkata, India",34,2091,14303,2268,1,0
PeetlaMahesh123,🎯✨Peetla Mahesh💫🤖,"Mico Layout , Bangalore, Karnataka, India",35,2013,254,4,0,18
saviomartin,Savio Martin,"Kerala, India",5,2001,1985,226,1,1
rahuloraj,Rahul Raj 🇮🇳 ,"Delhi,India ",40,1954,219,3,1,1
devanshbatham,Devansh Batham,India,34,1947,13689,2358,0,0
zerodha,Zerodha Tech,"Bangalore, Karnataka, India",50,1904,5271,2063,1,4
eazybytes,Eazy Bytes,India,21,1837,3785,4681,1,1
labnol,Amit Agarwal,India,44,1786,4176,807,1,2
smartherd,Sriyank Siddhartha,India,40,1764,2011,1399,1,0
parthwebdev,Parth Johar,India,25,1728,689,153,0,0
soumyajit4419,Soumyajit Behera,"Bhubneswar,India",40,1721,7124,3814,1,2
aniketdobriyal,Aniket Dobriyal,"India, Asia",19,1704,21,2,1,12
blueedgetechno,Blue,India,33,1698,10092,1343,1,5
LearnCodeWithDurgesh,Learn Code With Durgesh Officials,INDIA,47,1606,912,958,1,4
tech-ramakant,Ramakant Tiwari,"Surat, Gujarat, India",19,1594,118,4,1,1
amark720,Amar kumar,"Kolkata, India",33,1576,186,77,1,0
0xInfection,Pinaki,"Kolkata, India",12,1530,11255,1895,1,5
amankharwal,Aman Kharwal,India,38,1523,497,551,1,2
thehackingsage,Vipul Tiwari,India,28,1466,4804,967,1,9
raisedadead,Mrugesh Mohapatra,"Bengaluru, India",29,1451,107,26,1,1
CrazyIndianDeveloper,Vijay Mahajan,India,20,1419,109,13,1,0
bansalkanav,Kanav Bansal,India,45,1397,1694,689,1,1
Sumersingpatil2694,Sumersing Patil,India,6,1351,44,2,0,0
SamirPaulb,Samir Paul,"Bengaluru, Karnataka, India",17,1350,3322,856,1,11
N4si,Nasiullha Chaudhari,India,44,1329,1186,5188,0,0
tilakjain123,Coding Dev,India,18,1294,336,76,1,3
