Username,Full_Name,Bio,Location,Company,Public_Repos_Count,Public_Gists_Count,Followers_Count,Following_Count,Account_Age_Days,Total_Stars,Total_Forks,Total_Watchers,Open_Issues_Count,Avg_Repo_Size_KB,Unique_Languages_Count,Primary_Language,Total_Topics_Count,Readme_Presence_Rate,Avg_Readme_Size_Bytes,License_Adoption_Rate,Has_Portfolio_Link,GitHub_Pages_Count
torvalds,Linus Torvalds,,"Portland, OR",Linux Foundation,11,1,304100,0,5375,246073,63512,246073,73,594566.64,3,C,0,0.91,6188.7,0.82,0,0
karpathy,Andrej,I like to train Deep Neural Nets on large datasets.,Stanford,,63,13,189195,8,5886,455878,67451,455878,2240,15999.48,11,Python,8,1.0,5762.54,0.4,1,1
gustavoguanabara,Gustavo Guanabara,Nerd por natureza. Professor por vocação. Estou aqui para compartilhar conteúdos para iniciantes em Tecnologia.,"Rio de Janeiro, Brazil",Curso em Vídeo,8,0,112696,3,4275,29405,6652,29405,4077,44824.75,2,HTML,16,1.0,606.5,1.0,1,4
yyx990803,Evan You,"Founder @voidzero-dev, author of @vuejs and @vitejs. Connoisseur of sushi.",Singapore,VoidZero,199,73,108102,100,5654,16297,1810,16297,199,18271.86,10,JavaScript,0,0.92,5146.65,0.48,1,3
gaearon,dan,,,,296,82,90836,174,5476,44712,5295,44712,1062,94078.06,7,JavaScript,7,0.96,5898.4,0.68,1,6
peng-zhihui,稚晖,野生钢铁侠本侠。,Shanghai,HUAWEI Research,60,0,86712,9,3987,85033,17653,85033,676,194449.13,9,C,0,0.95,7674.53,0.52,0,0
ruanyf,Ruan YiFeng,,"Shanghai, China",,75,27,86324,0,5430,206555,37478,206555,7917,3143.08,8,JavaScript,1,0.96,4532.53,0.13,1,19
sindresorhus,Sindre Sorhus,"Full-Time Open-Sourcerer. Focused on Swift & JavaScript. Makes macOS apps, CLI tools, npm packages.",,,1134,99,79477,31,5997,834666,61111,834666,1353,2512.39,6,JavaScript,381,1.0,11592.49,0.95,1,5
bradtraversy,Brad Traversy,"Full stack web developer and online instructor, specializiing in mostly JS, but also write Python, PHP and some other stuff.",Massachusetts,Traversy Media,320,52,75890,9,4621,153687,48185,153687,898,3774.81,12,JavaScript,0,0.98,3982.79,0.16,1,1
JakeWharton,Jake Wharton,,"Pittsburgh, PA, USA",@SkylightFamily,151,54,68321,9,6268,136018,22472,136018,1385,13858.24,9,Java,6,0.97,3601.89,0.89,1,18
lucidrains,Phil Wang,Working with Attention. It's all we need,San Francisco,,394,33,59849,4,6145,144246,15057,144246,1783,8673.26,3,Python,460,1.0,9387.1,1.0,1,0
rafaballerini,Rafaella Ballerini,"Desenvolvedora de software e criadora de conteúdo de programação e tecnologia!
","Santa Catarina, Brasil",,59,6,59522,30,2467,21088,25390,21088,241,8808.85,7,CSS,49,0.58,4851.76,0.03,1,1
hiteshchoudhary,Hitesh Choudhary,I make coding videos on youtube and for courses. My youtube channel explains my work more. Check that out,India,,123,6,57273,0,4078,49056,12040,49056,2005,4464.78,15,JavaScript,5,0.8,8941.35,0.08,1,0
IDouble,Alp ₿📈🚀🌕,"🗽 Be greedy when others are fearful and be fearful when others are greedy ☕️ Full-Stack 🖥💻📱⌚️ Finance, Crypto ⛓ (Blockchain, Smart contracts etc.)","Zurich, Switzerland",NDA,61,2,53144,525316,3704,4279,682,4279,116,15778.79,13,Java,650,0.98,7409.15,0.93,0,11
tj,TJ,,,Apex,296,551,51800,45,6455,130719,8875,130719,985,397.74,10,JavaScript,52,1.0,4304.47,0.43,0,7
steipete,Peter Steinberger,"Came back from retirement to mess with AI. Clawdfather @OpenClaw

Previously: Founder of @PSPDFKit.",London / San Francisco,OpenAI,171,297,50273,109,6293,55092,5841,55092,293,19954.32,11,TypeScript,126,1.0,8136.61,0.83,1,13
ThePrimeagen,ThePrimeagen,,"9th Ring, Vim",CEO Of TheStartup,236,0,48936,5,4753,41766,5016,41766,713,7912.82,16,JavaScript,0,0.71,4002.93,0.18,1,10
addyosmani,Addy Osmani,Director at Google working on Gemini and  Google Cloud,"Sunnyvale, California",Google,356,176,48726,266,6138,104180,10633,104180,578,10012.05,9,JavaScript,128,0.98,10429.64,0.55,1,10
geohot,George Hotz,We will commoditize the petaflop.,"San Diego, CA",@commaai @tinygrad ,102,33,46501,0,6249,23617,2997,23617,298,58818.07,17,Python,1,0.87,4488.87,0.5,1,3
getify,Kyle Simpson,Kyle Simpson is a Human-Centric Technologist. He's fighting for the people behind the pixels.,"Austin, TX",Getify Solutions,73,411,45139,3,6039,216116,37009,216116,254,1858.56,5,JavaScript,140,0.97,8209.48,0.42,1,6
krishnaik06,Krish C Naik,Data Scientist with ML and Deep  Learning experience,Bangalore,Panasonic IIC,346,0,41538,0,3623,45786,30479,45786,387,10010.84,3,Jupyter Notebook,0,0.98,1114.04,0.71,1,0
CodeWithHarry,,,,,41,3,40712,0,2621,20975,8100,20975,700,13976.68,7,JavaScript,0,0.61,2091.76,0.07,0,2
3b1b,Grant Sanderson,I make videos about math.,,3Blue1Brown,9,0,40288,0,4079,99092,9793,99092,593,227684.22,5,Python,4,0.78,3558.0,0.67,1,2
